Zonas  Turísticas;Periodo;Total
Andalucía: Costa De La Luz De Cádiz;2012M02;3,36
Andalucía: Costa De La Luz De Cádiz;2012M01;1,82
Andalucía: Costa De La Luz De Cádiz;2011M12;2,54
Andalucía: Costa De La Luz De Cádiz;2011M11;3,39
Andalucía: Costa De La Luz De Cádiz;2011M10;3,17
Andalucía: Costa De La Luz De Cádiz;2011M09;4,23
Andalucía: Costa De La Luz De Cádiz;2011M08;6,19
Andalucía: Costa De La Luz De Cádiz;2011M07;6,15
Andalucía: Costa De La Luz De Cádiz;2011M06;4,21
Andalucía: Costa De La Luz De Cádiz;2011M05;3,03
Andalucía: Costa De La Luz De Cádiz;2011M04;3,35
Andalucía: Costa De La Luz De Cádiz;2011M03;3,48
Andalucía: Costa De La Luz De Cádiz;2011M02;3,12
Andalucía: Costa De La Luz De Cádiz;2011M01;2,18
Andalucía: Costa De La Luz De Cádiz;2010M12;2,64
Andalucía: Costa De La Luz De Cádiz;2010M11;4,22
Andalucía: Costa De La Luz De Cádiz;2010M10;3,8
Andalucía: Costa De La Luz De Cádiz;2010M09;4,79
Andalucía: Costa De La Luz De Cádiz;2010M08;6,81
Andalucía: Costa De La Luz De Cádiz;2010M07;6,56
Andalucía: Costa De La Luz De Cádiz;2010M06;4,55
Andalucía: Costa De La Luz De Cádiz;2010M05;3,63
Andalucía: Costa De La Luz De Cádiz;2010M04;3,47
Andalucía: Costa De La Luz De Cádiz;2010M03;3,58
Andalucía: Costa De La Luz De Cádiz;2010M02;2,8
Andalucía: Costa De La Luz De Cádiz;2010M01;3,52
Andalucía: Costa De La Luz De Cádiz;2009M12;2,79
Andalucía: Costa De La Luz De Cádiz;2009M11;2,89
Andalucía: Costa De La Luz De Cádiz;2009M10;3,06
Andalucía: Costa De La Luz De Cádiz;2009M09;5,45
Andalucía: Costa De La Luz De Cádiz;2009M08;6,63
Andalucía: Costa De La Luz De Cádiz;2009M07;5,57
Andalucía: Costa De La Luz De Cádiz;2009M06;3,61
Andalucía: Costa De La Luz De Cádiz;2009M05;3,05
Andalucía: Costa De La Luz De Cádiz;2009M04;3,06
Andalucía: Costa De La Luz De Cádiz;2009M03;3,05
Andalucía: Costa De La Luz De Cádiz;2009M02;2,87
Andalucía: Costa De La Luz De Cádiz;2009M01;2,78
Andalucía: Costa De La Luz De Cádiz;2008M12;2,98
Andalucía: Costa De La Luz De Cádiz;2008M11;5,77
Andalucía: Costa De La Luz De Cádiz;2008M10;3,87
Andalucía: Costa De La Luz De Cádiz;2008M09;6,44
Andalucía: Costa De La Luz De Cádiz;2008M08;7,8
Andalucía: Costa De La Luz De Cádiz;2008M07;6,9
Andalucía: Costa De La Luz De Cádiz;2008M06;4,04
Andalucía: Costa De La Luz De Cádiz;2008M05;3,75
Andalucía: Costa De La Luz De Cádiz;2008M04;3,15
Andalucía: Costa De La Luz De Cádiz;2008M03;3,56
Andalucía: Costa De La Luz De Cádiz;2008M02;2,83
Andalucía: Costa De La Luz De Cádiz;2008M01;3,04
Andalucía: Costa De La Luz De Cádiz;2007M12;3,66
Andalucía: Costa De La Luz De Cádiz;2007M11;3,9
Andalucía: Costa De La Luz De Cádiz;2007M10;4,48
Andalucía: Costa De La Luz De Cádiz;2007M09;6,76
Andalucía: Costa De La Luz De Cádiz;2007M08;8,28
Andalucía: Costa De La Luz De Cádiz;2007M07;7,51
Andalucía: Costa De La Luz De Cádiz;2007M06;3,9
Andalucía: Costa De La Luz De Cádiz;2007M05;3,15
Andalucía: Costa De La Luz De Cádiz;2007M04;3,73
Andalucía: Costa De La Luz De Cádiz;2007M03;3,54
Andalucía: Costa De La Luz De Cádiz;2007M02;3,67
Andalucía: Costa De La Luz De Cádiz;2007M01;4,46
Andalucía: Costa De La Luz De Cádiz;2006M12;3,69
Andalucía: Costa De La Luz De Cádiz;2006M11;3,05
Andalucía: Costa De La Luz De Cádiz;2006M10;4,5
Andalucía: Costa De La Luz De Cádiz;2006M09;5,84
Andalucía: Costa De La Luz De Cádiz;2006M08;8,07
Andalucía: Costa De La Luz De Cádiz;2006M07;8,21
Andalucía: Costa De La Luz De Cádiz;2006M06;3,7
Andalucía: Costa De La Luz De Cádiz;2006M05;3,35
Andalucía: Costa De La Luz De Cádiz;2006M04;3,21
Andalucía: Costa De La Luz De Cádiz;2006M03;3,18
Andalucía: Costa De La Luz De Cádiz;2006M02;2,92
Andalucía: Costa De La Luz De Cádiz;2006M01;3,09
Andalucía: Costa De La Luz De Cádiz;2005M12;2,02
Andalucía: Costa De La Luz De Cádiz;2005M11;3,38
Andalucía: Costa De La Luz De Cádiz;2005M10;4,66
